_id, humidity, date/$date, pressure, temperature, light, rain
04_27_2017_03_08, 67, 2017-04-27T06:08:36.000+0300, 1007, 11, 0, 
04_27_2017_03_19, 66, 2017-04-27T06:19:05.000+0300, 1007, 11, 0, 
04_27_2017_03_29, 66, 2017-04-27T06:29:34.000+0300, 1007, 11, 0, 
04_27_2017_03_40, 64, 2017-04-27T06:40:04.000+0300, 1007, 11, 0, 
04_27_2017_03_50, 61, 2017-04-27T06:50:33.000+0300, 1007, 11, 0, 
04_27_2017_04_01, 62, 2017-04-27T07:01:02.000+0300, 1007, 10, 0, 
04_27_2017_04_11, 60, 2017-04-27T07:11:31.000+0300, 1007, 10, 0, 
04_27_2017_04_22, 60, 2017-04-27T07:22:00.000+0300, 1007, 10, 0, 
04_27_2017_04_32, 59, 2017-04-27T07:32:29.000+0300, 1007, 10, 0, 
04_27_2017_04_42, 59, 2017-04-27T07:42:58.000+0300, 1007, 10, 0, 
04_27_2017_04_53, 60, 2017-04-27T07:53:27.000+0300, 1007, 10, 0, 
